,Method 1 State 1,Method 1 State 1 runtime
0,0.048828125,
1,0.01953125,
2,-0.05859375,
3,0.03125,
4,0.017578125,
5,-0.005859375,
6,0.01953125,
7,0.017578125,
8,0.072265625,
9,0.015625,
10,0.01171875,
11,0.00390625,
12,-0.013671875,
13,-0.02734375,
14,0.0703125,
15,0.01171875,
16,0.068359375,
17,0.048828125,
18,-0.03125,
19,-0.001953125,
20,0.009765625,
21,0.103515625,
22,0.06640625,
23,0.005859375,
24,0.017578125,
25,0.015625,
26,-0.056640625,
27,0.025390625,
28,0.056640625,
29,0.03125,
30,0.068359375,
31,0.083984375,
32,0.025390625,
33,0.01171875,
34,0.04296875,
35,0.02734375,
36,0.021484375,
37,0.005859375,
