,Method 2,Method 2 runtime,Method 1,Method 1 runtime,,
0,0.403151597,3.398762941,0.765625,1.588136196,,
1,0.495926088,3.86179924,0.75390625,1.869986057,,
2,0.408564953,3.581459045,0.787109375,1.687350273,,
3,0.451562211,3.759950399,0.70703125,1.923151731,,
4,0.433827284,3.307716131,0.76171875,1.770907879,,
5,0.407198335,3.561342955,0.74609375,1.7412076,,
6,0.382993027,3.452988386,0.72265625,1.730929375,,
7,0.419082072,3.615608692,0.73046875,1.740646124,,
8,0.399980526,3.480149746,0.705078125,1.715956211,,
9,0.438493212,3.351271868,0.751953125,1.958153009,,
10,0.433079856,3.407465219,0.7265625,1.876260996,,
11,0.408564953,3.512098074,0.740234375,1.773328304,,
12,0.433517689,3.620667934,0.736328125,1.764331818,,
13,0.449010331,3.437347174,0.720703125,1.706657887,,
14,0.443596974,3.501376867,0.71484375,1.772212505,,
15,0.469606734,3.454185963,0.724609375,1.805465698,,
16,0.439678475,3.35572648,0.703125,1.767720938,,
17,0.416530191,3.40865922,0.7734375,1.742259979,,
18,0.411426429,3.77491188,0.744140625,1.810883522,,
19,0.46854971,3.467268467,0.755859375,1.629333258,,
